The below is in seconds and not in ms


method|timestamp|throughput|duration(ms)|noTuples|noPartitions|noThreads
Independent|2022-02-28 16:35:05|324973.8150696414|51.626362562179565|16777216|2|2
Concurrent|2022-02-28 16:35:49|379123.41953458556|44.252650022506714|16777216|2|2
Independent|2022-02-28 16:38:02|258375.66326170153|64.93342208862305|16777216|3|2
Concurrent|2022-02-28 16:38:48|366750.47932966636|45.74558711051941|16777216|3|2
Independent|2022-02-28 16:41:21|253585.88508517927|66.15989685058594|16777216|4|2
Concurrent|2022-02-28 16:42:27|254542.07890292714|65.9113655090332|16777216|4|2
Independent|2022-02-28 16:44:42|228283.4395762854|73.49291753768921|16777216|5|2
Concurrent|2022-02-28 16:45:50|247641.7724305908|67.74792408943176|16777216|5|2
Independent|2022-02-28 16:48:14|219566.9870711677|76.41046690940857|16777216|6|2
Concurrent|2022-02-28 16:49:19|260484.16455545858|64.40781545639038|16777216|6|2
Independent|2022-02-28 16:51:26|319518.89384382626|52.50774312019348|16777216|7|2
Concurrent|2022-02-28 16:52:36|241506.35420551183|69.46904587745667|16777216|7|2
Independent|2022-02-28 16:54:25|342684.76462315116|48.95816135406494|16777216|8|2
Concurrent|2022-02-28 16:55:29|259473.79411776754|64.65861439704895|16777216|8|2
Independent|2022-02-28 16:57:36|371911.1797341712|45.11081385612488|16777216|9|2
Concurrent|2022-02-28 16:58:21|372109.5001090226|45.0867714881897|16777216|9|2
Independent|2022-02-28 17:00:42|350267.5432139231|47.89828896522522|16777216|10|2
Concurrent|2022-02-28 17:01:25|395190.5944558516|42.45348000526428|16777216|10|2
Independent|2022-02-28 17:03:45|329465.04184142116|50.922598361968994|16777216|11|2
Concurrent|2022-02-28 17:04:31|366759.4862750048|45.74446368217468|16777216|11|2
Independent|2022-02-28 17:07:09|229548.66637857692|73.08783912658691|16777216|12|2
Concurrent|2022-02-28 17:08:14|256196.6030719209|65.48570823669434|16777216|12|2
Independent|2022-02-28 17:10:44|242486.47963908382|69.18825340270996|16777216|13|2
Concurrent|2022-02-28 17:11:47|265881.39853913983|63.100375175476074|16777216|13|2
Independent|2022-02-28 17:14:05|225970.1284048766|74.24528241157532|16777216|14|2
Concurrent|2022-02-28 17:15:15|240695.74021296107|69.70300340652466|16777216|14|2
Independent|2022-02-28 17:17:06|333005.36275814986|50.381218671798706|16777216|15|2
Concurrent|2022-02-28 17:18:11|255414.22830318403|65.68630146980286|16777216|15|2
Independent|2022-02-28 17:21:05|228054.1185991898|73.56681871414185|16777216|16|2
Concurrent|2022-02-28 17:22:13|244734.4307638443|68.55274081230164|16777216|16|2
Independent|2022-02-28 17:24:47|250895.3729570265|66.86937189102173|16777216|17|2
Concurrent|2022-02-28 17:25:51|261288.50122996228|64.20954585075378|16777216|17|2
Independent|2022-02-28 17:27:55|242393.8318120745|69.21469855308533|16777216|18|2
Concurrent|2022-02-28 17:29:04|245645.96169722208|68.29835867881775|16777216|18|2
Independent|2022-02-28 17:31:44|243009.6692315678|69.03929400444031|16777216|19|2
Concurrent|2022-02-28 17:32:47|264774.7838160684|63.36410045623779|16777216|19|2
Independent|2022-02-28 17:35:14|226479.49388928947|74.07830047607422|16777216|20|2
Concurrent|2022-02-28 17:36:17|269695.5386098992|62.207984924316406|16777216|20|2
Independent|2022-02-28 17:38:26|343261.50029066775|48.875903606414795|16777216|21|2
Concurrent|2022-02-28 17:39:36|238028.9187453642|70.48393988609314|16777216|21|2
Independent|2022-02-28 17:42:18|218832.61020982277|76.66689157485962|16777216|22|2
Concurrent|2022-02-28 17:43:27|244450.70046801976|68.63230895996094|16777216|22|2
Independent|2022-02-28 17:46:03|233851.26639720684|71.74310517311096|16777216|23|2
Concurrent|2022-02-28 17:47:07|264205.5725958221|63.50061368942261|16777216|23|2
Independent|2022-02-28 17:50:00|231801.53653286234|72.37750124931335|16777216|24|2
Concurrent|2022-02-28 17:51:06|256122.1294279373|65.50474977493286|16777216|24|2
Independent|2022-02-28 17:53:42|243508.29010051684|68.89792537689209|16777216|25|2
Concurrent|2022-02-28 17:54:23|406938.67385846213|41.22787308692932|16777216|25|2
Independent|2022-02-28 17:56:50|289673.0054867854|57.91777515411377|16777216|26|2
Concurrent|2022-02-28 17:57:53|265848.21348706546|63.10825181007385|16777216|26|2
Independent|2022-02-28 18:00:26|234908.66470836516|71.42016673088074|16777216|27|2
Concurrent|2022-02-28 18:01:31|256138.75276817425|65.5004985332489|16777216|27|2
Independent|2022-02-28 18:03:27|359549.33596543607|46.6617910861969|16777216|28|2
Concurrent|2022-02-28 18:04:32|258670.03652309653|64.85952615737915|16777216|28|2
Independent|2022-02-28 18:06:59|219828.76260765287|76.31947612762451|16777216|29|2
Concurrent|2022-02-28 18:07:48|338579.6367695175|49.55175733566284|16777216|29|2
Independent|2022-02-28 18:10:04|336081.6880088986|49.92005395889282|16777216|30|2
Concurrent|2022-02-28 18:11:09|259566.13893742976|64.6356110572815|16777216|30|2
Independent|2022-02-28 18:13:19|245024.28408320935|68.47164583206177|16777216|31|2
Concurrent|2022-02-28 18:14:08|338739.60468649335|49.5283567905426|16777216|31|2
Independent|2022-02-28 18:16:17|260028.68835221702|64.52063465118408|16777216|2|3
Concurrent|2022-02-28 18:17:17|276690.15069275355|60.635392904281616|16777216|2|3
Independent|2022-02-28 18:19:30|238138.83452701385|70.45140719413757|16777216|3|3
Concurrent|2022-02-28 18:20:36|254792.44622418936|65.84659886360168|16777216|3|3
Independent|2022-02-28 18:22:58|239935.47648465744|69.92386555671692|16777216|4|3
Concurrent|2022-02-28 18:24:01|267463.4878653504|62.727126359939575|16777216|4|3
Independent|2022-02-28 18:25:52|256208.65947953294|65.48262667655945|16777216|5|3
Concurrent|2022-02-28 18:26:55|266413.4802889199|62.974350929260254|16777216|5|3
Independent|2022-02-28 18:28:58|234381.30072167146|71.58086395263672|16777216|6|3
Concurrent|2022-02-28 18:29:43|367211.55954017444|45.68814778327942|16777216|6|3
