method|timestamp|throughput|duration(ms)|noTuples|noPartitions|noThreads
Independent|2022-03-20 19:42:52|1295550.5041398613|12.94987416267395|16777216|8|32
Concurrent|2022-03-20 19:43:21|1688245.3603772179|9.93766450881958|16777216|8|32
Independent|2022-03-20 19:44:07|828895.0280790286|20.240459203720093|16777216|10|32
Concurrent|2022-03-20 19:44:47|792599.1273466863|21.167340993881226|16777216|10|32
Independent|2022-03-20 19:45:27|999414.0062492256|16.787053108215332|16777216|12|32
Concurrent|2022-03-20 19:46:01|1241430.9686552933|13.514417171478271|16777216|12|32
Independent|2022-03-20 20:33:44|1266603.2551738122|13.2458336353302|16777216|14|32
Concurrent|2022-03-20 20:34:09|1674162.6058358492|10.021258354187012|16777216|14|32
Independent|2022-03-20 20:34:55|837875.4088783396|20.023521184921265|16777216|16|32
Concurrent|2022-03-20 20:35:28|1061816.7515071027|15.80048155784607|16777216|16|32
Independent|2022-03-20 20:36:15|631420.0528595503|26.57061004638672|16777216|18|32
Concurrent|2022-03-20 20:36:45|1282563.5926985051|13.081001281738281|16777216|18|32
