method|timestamp|throughput|duration(ns)|noTuples|noPartitions|noThreads
Independent|2022-03-23 17:07:30|1265931.03|13252867342|16777216|1|16
Concurrent|2022-03-23 17:08:01|1448014.04|11586362787|16777216|1|16
Independent|2022-03-23 17:09:18|1281016.17|13096802716|16777216|2|16
Concurrent|2022-03-23 17:09:40|1738115.32|9652533278|16777216|2|16
Independent|2022-03-23 17:10:54|1254050.26|13378423924|16777216|4|16
Concurrent|2022-03-23 17:11:25|1456154.99|11521586742|16777216|4|16
Independent|2022-03-23 17:12:47|1249696.84|13425028778|16777216|6|16
Concurrent|2022-03-23 17:13:17|1509614.36|11113577377|16777216|6|16
Independent|2022-03-23 17:14:30|1308647.79|12820268435|16777216|8|16
Concurrent|2022-03-23 17:14:58|1996005.08|8405397450|16777216|8|16
Independent|2022-03-23 17:16:06|1311052.58|12796753000|16777216|10|16
Concurrent|2022-03-23 17:16:31|1484640.49|11300524322|16777216|10|16
Independent|2022-03-23 17:17:47|1219264.27|13760114496|16777216|12|16
Concurrent|2022-03-23 17:18:20|1457781.39|11508732432|16777216|12|16
Independent|2022-03-23 17:19:32|1324034.0|12671287898|16777216|14|16
Concurrent|2022-03-23 17:19:58|1532160.65|10950037108|16777216|14|16
Independent|2022-03-23 17:21:02|1455595.49|11526015349|16777216|16|16
Concurrent|2022-03-23 17:21:34|1063708.55|15772380569|16777216|16|16
Independent|2022-03-23 17:22:44|1253491.2|13384390723|16777216|18|16
Concurrent|2022-03-23 17:23:13|1188623.67|14114825756|16777216|18|16
Independent|2022-03-23 17:24:17|1366122.55|12280901135|16777216|1|32
Concurrent|2022-03-23 17:24:38|1843393.58|9101266368|16777216|1|32
Independent|2022-03-23 17:25:57|1198785.59|13995176575|16777216|2|32
Concurrent|2022-03-23 17:26:27|1542237.68|10878489250|16777216|2|32
Independent|2022-03-23 17:27:36|2200659.41|7623722196|16777216|4|32
Concurrent|2022-03-23 17:28:03|1592184.58|10537230574|16777216|4|32
Independent|2022-03-23 17:29:15|2088495.67|8033158125|16777216|6|32
Concurrent|2022-03-23 17:29:42|1506091.11|11139575764|16777216|6|32
Independent|2022-03-23 17:31:01|1191476.63|14081028126|16777216|8|32
Concurrent|2022-03-23 17:31:32|1554342.88|10793767700|16777216|8|32
Independent|2022-03-23 17:32:56|1199565.09|13986082293|16777216|10|32
Concurrent|2022-03-23 17:33:28|1500359.66|11182129506|16777216|10|32
